Sugerencia;Contestada al Ciudadano;INTERNET;2015-12-11 00:00:00.0;2015-12-22 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Economía e Industria;ECONOMIA;INDUSTRIA
Queja;Cancelada;INTERNET;2015-12-11 00:00:00.0;;Consejería de Políticas Sociales, Familias, Igualdad y Natalidad;Dirección General de Atención a la Dependencia y al Mayor;POLÍTICAS SOCIALES;MAYORES
Queja;Rechazada por SGAC;INTERNET;2015-12-11 00:00:00.0;;;;CULTURA;OTROS
Queja;Contestada al Ciudadano;PRESENCIAL;2015-12-11 00:00:00.0;2016-04-26 00:00:00.0;Consejería de Políticas Sociales, Familias, Igualdad y Natalidad;Secretaría General Técnica;POLÍTICAS SOCIALES;OTROS
Agradecimiento;Cancelada;INTERNET;2015-12-11 00:00:00.0;;Consejería de Economía, Hacienda y Empleo;Dirección General del Servicio Público de Empleo;EMPLEO;OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;PRESENCIAL;2015-12-11 00:00:00.0;2015-12-21 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;SERVICIO 012;ATENCIÓN AL CIUDADANO;TELÉFONO 012
Queja;Enviada a Otra Administración;PRESENCIAL;2015-12-11 00:00:00.0;;;;ATENCIÓN AL CIUDADANO;OTROS
Queja;Contestada al Ciudadano;LLAMADAS 012;2015-12-11 00:00:00.0;2015-12-15 00:00:00.0;Consejería de Políticas Sociales, Familias, Igualdad y Natalidad;Dirección General de la Familia y el Menor;POLÍTICAS SOCIALES;FAMILIA
Queja;Enviada a Otra Administración;INTERNET;2015-12-11 00:00:00.0;;;;TRANSPORTES;AUTOBUSES INTERURBANOS
Queja;Cancelada;INTERNET;2015-12-11 00:00:00.0;;Consejería de Políticas Sociales, Familias, Igualdad y Natalidad;Secretaría General Técnica;INFORMATICA Y COMUNICACIONES (MADRID DIGITAL);PORTAL MADRID.ORG
Sugerencia;Rechazada por SGAC;INTERNET;2015-12-11 00:00:00.0;;;;MEDIO AMBIENTE;CALIDAD AMBIENTAL
Queja;Contestada al Ciudadano;INTERNET;2015-12-11 00:00:00.0;2015-12-18 00:00:00.0;Consejería de Educación, Juventud y Deporte;Dirección General de Educación Infantil, Primaria y Secundaria;EDUCACIÓN;INFANTIL Y PRIMARIA
Queja;Contestada al Ciudadano;INTERNET;2015-12-11 00:00:00.0;2016-11-08 00:00:00.0;Consejería de Medio Ambiente, Ordenación del Territorio y Sostenibilidad;Dirección General del Medio Ambiente y Sostenibilidad;MEDIO AMBIENTE;OTROS
