Queja;Contestada al Ciudadano;INTERNET;2015-12-12 00:00:00.0;2015-12-18 00:00:00.0;Consejería de Educación, Juventud y Deporte;Dirección General de Juventud y Deporte;DEPORTES;POLIDEPORTIVOS, PABELLONES Y PISCINAS
Sugerencia;Contestada al Ciudadano;PRESENCIAL;2015-12-12 00:00:00.0;2016-02-15 00:00:00.0;Oficina de Cultura y Turismo;;CULTURA;BIBLIOTECAS
Sugerencia;Contestada al Ciudadano;INTERNET;2015-12-12 00:00:00.0;2016-02-15 00:00:00.0;Oficina de Cultura y Turismo;;CULTURA;BIBLIOTECAS
Queja;Enviada a Otra Administración;INTERNET;2015-12-12 00:00:00.0;;;;MEDIO AMBIENTE;OTROS
Sugerencia;Contestada al Ciudadano;INTERNET;2015-12-12 00:00:00.0;2016-04-15 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;EMT Y AUTOBUSES URBANOS
Sugerencia;Rechazada por SGAC;INTERNET;2015-12-12 00:00:00.0;;;;SANIDAD;CONDICIONES LABORALES
Queja;Rechazada por SGAC;INTERNET;2015-12-12 00:00:00.0;;;;OTROS;FUNCIÓN PÚBLICA
Sugerencia;Contestada al Ciudadano;INTERNET;2015-12-12 00:00:00.0;2015-12-28 00:00:00.0;Consejería de Políticas Sociales, Familias, Igualdad y Natalidad;Agencia Madrileña de Atención Social;POLÍTICAS SOCIALES;OTROS
Queja;Rechazada por SGAC;INTERNET;2015-12-13 00:00:00.0;;;;SANIDAD;SALUD PÚBLICA
Queja;Cancelada;INTERNET;2015-12-13 00:00:00.0;;Consejería de Políticas Sociales, Familias, Igualdad y Natalidad;Subdirección General de Control de Calidad, Inspección, Registro y Autorizaciones;POLÍTICAS SOCIALES;DEPENDENCIA
