Queja;Contestada al Ciudadano;LLAMADAS 012;2013-01-09 00:00:00.0;2013-07-25 00:00:00.0;Consejería de Sanidad;Gabinete;SANIDAD;MEDICAMENTOS Y PRODUCTOS SANITARIOS
Queja;Contestada al Ciudadano;LLAMADAS 012;2013-01-09 00:00:00.0;2013-03-13 00:00:00.0;Consejería de Presidencia, Justicia y Portavocía del Gobierno;;JUSTICIA;REGISTROS CIVILES
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-03-13 00:00:00.0;Oficina de Cultura y Turismo;;CULTURA;BIBLIOTECAS
Queja;Contestada al Ciudadano;PRESENCIAL;2013-01-09 00:00:00.0;2013-03-06 00:00:00.0;Consejería de Presidencia, Justicia y Portavocía del Gobierno;;JUSTICIA;OTROS
Queja;Contestada al Ciudadano;LLAMADAS 012;2013-01-09 00:00:00.0;2013-02-18 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;TARIFAS, ABONOS Y TÍTULOS
Queja;Cancelada;INTERNET;2013-01-09 00:00:00.0;;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;MEDICAMENTOS Y PRODUCTOS SANITARIOS
Queja;Contestada al Ciudadano;LLAMADAS 012;2013-01-09 00:00:00.0;2013-02-26 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;AUTOBUSES INTERURBANOS
Queja;Contestada al Ciudadano;INTERNET;2013-01-09 00:00:00.0;2013-03-13 00:00:00.0;Oficina de Cultura y Turismo;;EDUCACIÓN;OTROS
Queja;Enviada a Otra Administración;LLAMADAS 012;2013-01-09 00:00:00.0;;;;TRANSPORTES;EMT Y AUTOBUSES URBANOS
Queja;Contestada al Ciudadano;INTERNET;2013-01-09 00:00:00.0;2013-03-19 00:00:00.0;Oficina de Cultura y Turismo;;CULTURA;TEATRO, CINE, MÚSICA Y DANZA
Queja;Contestada al Ciudadano;LLAMADAS 012;2013-01-09 00:00:00.0;2013-03-13 00:00:00.0;Consejería de Sanidad;Gabinete;SANIDAD;MEDICAMENTOS Y PRODUCTOS SANITARIOS
